Node, x_pos, y_pos, target_x, target_y
5, -25, 15, -25, 15
6, 25, -15, 25, -15
7, -35, -5, -35, -5
8, 35, 15, 35, 15
9, -15, -15, -15, -15
10, 5, -15, 5, -15
11, 35, 5, 35, 5
12, 5, 15, 5, 15
13, -35, -15, -35, -15
14, 35, -15, 35, -15
15, -5, -15, -5, -15
16, -15, 15, -15, 15
17, -25, -15, -25, -15
18, 35, -5, 35, -5
19, -5, 15, -5, 15
0, 6.2724, 0.0712141, 15, 15
1, -35, 5, -35, 5
2, 25, 15, 25, 15
3, 15, -15, 15, -15
4, -35, 15, -35, 15
5, -25, 15, -25, 15
6, 25, -15, 25, -15
7, -35, -5, -35, -5
8, 35, 15, 35, 15
9, -15, -15, -15, -15
10, 5, -15, 5, -15
11, 35, 5, 35, 5
12, 5, 15, 5, 15
13, -35, -15, -35, -15
14, 35, -15, 35, -15
15, -5, -15, -5, -15
16, -15, 15, -15, 15
17, -25, -15, -25, -15
18, 35, -5, 35, -5
19, -5, 15, -5, 15
0, 7.2818, 1.79781, 15, 15
1, -35, 5, -35, 5
2, 25, 15, 25, 15
3, 15, -15, 15, -15
4, -35, 15, -35, 15
5, -25, 15, -25, 15
6, 25, -15, 25, -15
7, -35, -5, -35, -5
8, 35, 15, 35, 15
9, -15, -15, -15, -15
10, 5, -15, 5, -15
11, 35, 5, 35, 5
12, 5, 15, 5, 15
13, -35, -15, -35, -15
14, 35, -15, 35, -15
15, -5, -15, -5, -15
16, -15, 15, -15, 15
17, -25, -15, -25, -15
18, 35, -5, 35, -5
19, -5, 15, -5, 15
0, 8.29119, 3.5244, 15, 15
1, -35, 5, -35, 5
2, 25, 15, 25, 15
3, 15, -15, 15, -15
4, -35, 15, -35, 15
5, -25, 15, -25, 15
6, 25, -15, 25, -15
7, -35, -5, -35, -5
8, 35, 15, 35, 15
9, -15, -15, -15, -15
10, 5, -15, 5, -15
11, 35, 5, 35, 5
12, 5, 15, 5, 15
13, -35, -15, -35, -15
14, 35, -15, 35, -15
15, -5, -15, -5, -15
16, -15, 15, -15, 15
17, -25, -15, -25, -15
18, 35, -5, 35, -5
19, -5, 15, -5, 15
0, 9.30058, 5.25099, 15, 15
1, -35, 5, -35, 5
2, 25, 15, 25, 15
3, 15, -15, 15, -15
4, -35, 15, -35, 15
5, -25, 15, -25, 15
6, 25, -15, 25, -15
7, -35, -5, -35, -5
8, 35, 15, 35, 15
9, -15, -15, -15, -15
10, 5, -15, 5, -15
11, 35, 5, 35, 5
12, 5, 15, 5, 15
13, -35, -15, -35, -15
14, 35, -15, 35, -15
15, -5, -15, -5, -15
16, -15, 15, -15, 15
17, -25, -15, -25, -15
18, 35, -5, 35, -5
19, -5, 15, -5, 15
0, 10.31, 6.97759, 15, 15
1, -35, 5, -35, 5
2, 25, 15, 25, 15
3, 15, -15, 15, -15
4, -35, 15, -35, 15
5, -25, 15, -25, 15
6, 25, -15, 25, -15
7, -35, -5, -35, -5
8, 35, 15, 35, 15
9, -15, -15, -15, -15
10, 5, -15, 5, -15
11, 35, 5, 35, 5
12, 5, 15, 5, 15
13, -35, -15, -35, -15
14, 35, -15, 35, -15
15, -5, -15, -5, -15
16, -15, 15, -15, 15
17, -25, -15, -25, -15
18, 35, -5, 35, -5
19, -5, 15, -5, 15
0, 11.3194, 8.70418, 15, 15
1, -35, 5, -35, 5
2, 25, 15, 25, 15
3, 15, -15, 15, -15
4, -35, 15, -35, 15
5, -25, 15, -25, 15
6, 25, -15, 25, -15
7, -35, -5, -35, -5
8, 35, 15, 35, 15
9, -15, -15, -15, -15
10, 5, -15, 5, -15
11, 35, 5, 35, 5
12, 5, 15, 5, 15
13, -35, -15, -35, -15
14, 35, -15, 35, -15
15, -5, -15, -5, -15
16, -15, 15, -15, 15
17, -25, -15, -25, -15
18, 35, -5, 35, -5
19, -5, 15, -5, 15
0, 12.3288, 10.4308, 15, 15
1, -35, 5, -35, 5
2, 25, 15, 25, 15
3, 15, -15, 15, -15
4, -35, 15, -35, 15
5, -25, 15, -25, 15
6, 25, -15, 25, -15
7, -35, -5, -35, -5
8, 35, 15, 35, 15
9, -15, -15, -15, -15
10, 5, -15, 5, -15
11, 35, 5, 35, 5
12, 5, 15, 5, 15
13, -35, -15, -35, -15
14, 35, -15, 35, -15
15, -5, -15, -5, -15
16, -15, 15, -15, 15
17, -25, -15, -25, -15
18, 35, -5, 35, -5
19, -5, 15, -5, 15
0, 13.3382, 12.1574, 15, 15
1, -35, 5, -35, 5
2, 25, 15, 25, 15
3, 15, -15, 15, -15
4, -35, 15, -35, 15
5, -25, 15, -25, 15
6, 25, -15, 25, -15
7, -35, -5, -35, -5
8, 35, 15, 35, 15
